,Mkt-RF,SMB,HML,RF
1926-07,2.89,-2.55,-2.39,0.22
1926-08,2.64,-1.14,3.81,0.25
1926-09,0.38,-1.36,0.05,0.23
1926-10,-3.27,-0.14,0.82,0.32
1926-11,2.54,-0.11,-0.61,0.31
1926-12,2.62,-0.07,0.06,0.28
1927-01,-0.05,-0.32,4.58,0.25
1927-02,4.17,0.07,2.72,0.26
1927-03,0.14,-1.77,-2.38,0.30
1927-04,0.47,0.39,0.65,0.25
1927-05,5.45,1.55,4.80,0.30
1927-06,-2.38,0.51,-1.72,0.26
1927-07,7.26,-3.27,-1.13,0.30
1927-08,1.99,-0.77,-3.85,0.28
1927-09,4.77,-3.60,-0.57,0.21
1927-10,-4.29,2.03,-4.47,0.25
1927-11,6.52,2.78,-0.08,0.21
1927-12,2.09,0.98,-1.12,0.22
1928-01,-0.57,4.20,-0.71,0.25
1928-02,-1.69,-2.06,-0.64,0.33
1928-03,8.79,-0.38,-1.11,0.29
1928-04,4.25,4.14,3.25,0.22
1928-05,1.52,2.70,-3.00,0.32
1928-06,-4.90,-3.76,0.28,0.31
1928-07,0.63,-1.36,-0.54,0.32
1928-08,6.69,-2.04,-2.13,0.32
1928-09,2.87,2.40,0.84,0.27
1928-10,1.31,2.24,-2.14,0.41
1928-11,11.82,-1.82,2.65,0.38
1928-12,0.40,-0.93,-0.52,0.06
1929-01,4.66,-3.35,-1.22,0.34
1929-02,-0.34,-0.33,1.66,0.36
1929-03,-0.85,-4.91,1.57,0.34
1929-04,1.47,-1.12,0.93,0.36
1929-05,-6.38,-5.44,-1.52,0.44
1929-06,9.70,-2.14,-2.74,0.52
1929-07,4.48,-3.87,2.67,0.33
1929-08,8.14,-9.75,0.32,0.40
1929-09,-5.45,1.34,-0.79,0.35
1929-10,-20.07,-4.95,7.54,0.46
1929-11,-12.87,-0.88,5.05,0.37
1929-12,1.28,-4.10,-0.14,0.37
1930-01,5.61,3.49,-1.03,0.14
1930-02,2.50,0.28,0.28,0.30
1930-03,7.09,3.39,0.30,0.35
1930-04,-2.05,-0.35,-0.37,0.21
1930-05,-1.66,-2.10,-0.74,0.26
1930-06,-16.08,-3.59,2.40,0.27
1930-07,4.12,-0.27,-1.70,0.20
1930-08,0.30,-2.16,-0.59,0.09
1930-09,-12.81,-2.41,-5.09,0.22
1930-10,-8.78,-0.20,-1.09,0.09
1930-11,-3.04,2.46,-3.81,0.13
1930-12,-7.86,-4.67,-5.69,0.14
1931-01,6.25,3.47,8.24,0.15
1931-02,10.88,3.45,1.63,0.04
1931-03,-6.35,2.83,-3.20,0.13
1931-04,-10.00,-4.22,-4.33,0.08
1931-05,-13.29,5.22,-6.31,0.09
1931-06,13.93,-5.01,11.70,0.08
1931-07,-6.63,1.49,-2.20,0.06
1931-08,0.40,-2.08,-1.70,0.03
1931-09,-28.74,-1.02,-7.24,0.03
1931-10,7.99,-0.28,3.12,0.10
1931-11,-9.15,4.40,-5.19,0.17
1931-12,-13.52,-0.87,-9.19,0.12
1932-01,-1.57,4.41,9.74,0.23
1932-02,5.45,-2.51,-1.47,0.23
1932-03,-11.30,2.13,-2.20,0.16
1932-04,-17.94,0.93,2.07,0.11
1932-05,-20.51,4.21,-4.08,0.06
1932-06,-0.77,0.40,5.85,0.02
1932-07,33.61,-4.29,35.52,0.03
1932-08,37.12,13.46,34.20,0.03
1932-09,-2.94,-2.15,-7.37,0.03
1932-10,-13.15,-2.59,-10.47,0.02
1932-11,-5.88,1.83,-13.19,0.02
1932-12,4.42,-8.30,-7.54,0.01
1933-01,1.24,0.73,6.46,0.01
1933-02,-15.29,-2.63,-2.92,-0.03
1933-03,3.06,3.60,7.09,0.04
1933-04,38.81,3.02,20.10,0.10
1933-05,21.43,35.96,18.66,0.04
1933-06,13.10,8.65,-1.64,0.02
1933-07,-9.64,-1.06,3.30,0.02
1933-08,12.04,-5.16,3.05,0.03
1933-09,-10.65,-0.58,-11.71,0.02
1933-10,-8.36,-0.07,-8.49,0.01
1933-11,9.97,-6.37,2.27,0.02
1933-12,1.82,0.36,-1.99,0.02
1934-01,12.60,13.21,16.20,0.05
1934-02,-2.51,5.05,1.86,0.02
1934-03,0.09,2.45,-2.59,0.02
1934-04,-1.79,2.73,-3.83,0.01
1934-05,-7.26,-0.31,-5.90,0.01
1934-06,2.71,-2.18,-2.85,0.01
1934-07,-10.94,-7.12,-10.76,0.01
1934-08,5.58,5.55,0.17,0.01
1934-09,-0.24,-1.50,-1.21,0.01
1934-10,-1.66,1.23,-5.00,0.01
1934-11,8.33,6.60,-2.14,0.01
1934-12,0.36,3.28,-3.16,0.01
1935-01,-3.46,0.96,-1.77,0.01
1935-02,-1.96,0.32,-7.48,0.02
1935-03,-3.71,-3.43,-5.03,0.01
1935-04,9.06,-1.58,4.37,0.01
1935-05,3.46,-3.20,2.45,0.01
1935-06,5.93,-2.53,-1.52,0.01
1935-07,7.54,2.02,6.58,0.01
1935-08,2.65,6.01,6.29,0.01
1935-09,2.62,1.55,-4.12,0.01
1935-10,7.03,2.67,-2.33,0.01
1935-11,4.87,4.65,12.20,0.02
1935-12,4.55,0.09,0.83,0.01
1936-01,6.89,5.60,10.95,0.01
1936-02,2.49,0.84,4.33,0.01
1936-03,0.96,0.69,-1.59,0.02
1936-04,-8.14,-5.99,-2.28,0.02
1936-05,5.19,0.89,2.55,0.02
1936-06,2.40,-3.22,-1.19,0.03
1936-07,6.68,1.07,2.53,0.01
1936-08,0.99,0.61,3.79,0.02
1936-09,0.97,3.12,0.94,0.01
1936-10,7.10,-2.35,2.51,0.02
1936-11,3.26,8.70,-1.25,0.01
1936-12,0.20,3.87,4.14,0.00
1937-01,3.35,4.49,2.78,0.01
1937-02,1.08,0.64,4.28,0.02
1937-03,-0.26,-1.25,7.04,0.01
1937-04,-7.36,-3.72,-3.46,0.03
1937-05,-0.83,-0.69,-3.46,0.06
1937-06,-4.23,-3.91,-3.12,0.03
1937-07,8.91,0.88,0.81,0.03
1937-08,-4.88,0.45,-2.25,0.02
1937-09,-13.62,-7.00,-4.55,0.04
1937-10,-9.59,0.45,-1.52,0.02
1937-11,-8.33,-3.56,0.22,0.02
1937-12,-4.29,-7.92,-0.47,0.00
1938-01,0.48,4.84,-1.53,0.00
1938-02,5.85,0.41,-1.97,0.00
1938-03,-23.91,-4.30,-3.63,-0.01
1938-04,14.48,6.40,0.45,0.01
1938-05,-3.86,-2.47,-0.24,0.00
1938-06,23.89,4.22,0.37,0.00
1938-07,7.33,6.69,2.28,-0.01
1938-08,-2.68,-2.48,-4.78,0.00
1938-09,0.83,-2.68,-1.70,0.02
1938-10,7.80,5.81,5.04,0.01
1938-11,-1.74,-2.55,-1.20,-0.06
1938-12,4.17,-1.81,0.54,0.00
1939-01,-5.97,-1.54,-3.92,-0.01
1939-02,3.51,0.61,2.92,0.01
1939-03,-12.03,-4.75,-8.27,-0.01
1939-04,-0.18,1.67,-0.30,0.00
1939-05,6.81,2.80,0.47,0.01
1939-06,-5.33,-1.09,-5.28,0.01
1939-07,10.22,4.18,0.13,0.00
1939-08,-6.68,-4.59,-2.47,-0.01
1939-09,16.89,20.57,21.76,0.01
1939-10,-0.53,-0.08,-4.79,0.00
1939-11,-3.65,-5.12,-6.30,0.00
1939-12,2.93,0.92,-4.19,0.00
1940-01,-2.41,0.23,-0.77,0.00
1940-02,1.44,2.52,-0.36,0.00
1940-03,2.05,1.24,-1.27,0.00
1940-04,0.22,3.99,-0.22,0.00
1940-05,-22.00,-6.62,-3.72,-0.02
1940-06,6.69,-2.32,4.88,0.00
1940-07,3.17,0.99,-0.75,0.01
1940-08,2.21,-0.18,0.55,-0.01
1940-09,2.39,3.20,-1.14,0.00
1940-10,3.03,0.33,4.65,0.00
1940-11,-1.65,1.98,0.16,0.00
1940-12,0.69,-2.12,-0.89,0.00
1941-01,-4.18,0.98,3.83,-0.01
1941-02,-1.43,-1.56,0.89,-0.01
1941-03,0.84,0.09,3.05,0.01
1941-04,-5.46,-1.67,3.41,-0.01
1941-05,1.37,-0.64,0.61,0.00
1941-06,5.83,1.31,0.61,0.00
1941-07,5.87,5.74,7.24,0.03
1941-08,-0.17,-0.43,-1.10,0.01
1941-09,-0.88,-0.98,-0.27,0.01
1941-10,-5.26,-2.07,1.63,0.00
1941-11,-1.95,-1.08,-0.60,0.00
1941-12,-4.88,-2.86,-5.94,0.01
